id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.08982130698,-0.004082786679999992,0.09390409366
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,-1.248988571,1.258988571
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.8778503431,0.4547301768,0.4231201663
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.29817869302,-0.7529172133200001,1.05109590634
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,N_N,1.095,0,1.095
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,NO2,0.09008471257,0,0.09008471257
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,PO4,0.09447913233,0,0.09447913233
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,SiO2,0.01,0,0.01
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,NH3,0.2552340205,0,0.2552340205
