id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.411622748767734,hix,Humic,0.0014713737235370061,0.410151375044197
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.075473695267994,Phenylalanine,Proteinaceous,0.039871598747727395,0.0356020965202666
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.48230977440288,Fluvic Acid,Humic,-0.10789219846581011,1.59020197286869
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.00368705787668607,lignin,Other,-0.018515249558108827,0.0222023074347949
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00605195208140413,UV-Humic,Humic,-0.0024825276947509295,0.00853447977615506
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0760813789534515,Tyrosine,Proteinaceous,0.0274105581779321,0.0486708207755194
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00331565196640908,Visible-Humic,Humic,-0.00195573138154658,0.00527138334795566
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.00709216405823315,Marine Humic,Humic,-0.0029710479243185506,0.0100632119825517
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0414345765218118,Tryptophan,Proteinaceous,-0.0145667059280623,0.0560012824498741
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.467509202999895,m_to_c,Humic,-0.05631791672048597,0.523827119720381
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.642964204961481,bix,Humic,-0.030152869797618997,0.6731170747591
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.377003790028423,hix,Humic,-0.026133130633593016,0.403136920662016
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0315181244940096,Phenylalanine,Proteinaceous,3.979422881301986e-4,0.0311201822058794
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.41412357518019,Fluvic Acid,Humic,-0.4294085488206101,1.8435321240008
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0159177853903355,lignin,Other,-0.0299208053165595,0.045838590706895
