id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,not outlier,-1.159187519352941
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.8692752871,not outlier,0.3985859782777778
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.91,not outlier,-0.18773513392055563
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.443,not outlier,-0.7506111111111111
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,not outlier,-0.08587597719055555
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.878276458,not outlier,-0.2909110613529411
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4365712346,not outlier,-0.03411807422222218
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.433,not outlier,-0.6647351339205556
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.533,not outlier,-0.6606111111111111
